model,fold,params,param_key,macro_f1,mean_absolute_age_error,severe_error_rate
decision_tree,1,"{'max_depth': 12, 'min_samples_leaf': 1, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('class_weight', 'balanced'), ('fit_weight', 'none'), ('max_depth', 12), ('min_samples_leaf', 1)]",0.686803956707064,0.19111111111111112,0.022222222222222223
decision_tree,2,"{'max_depth': 12, 'min_samples_leaf': 1, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('class_weight', 'balanced'), ('fit_weight', 'none'), ('max_depth', 12), ('min_samples_leaf', 1)]",0.6965617730998996,0.1688888888888889,0.05333333333333334
decision_tree,3,"{'max_depth': 12, 'min_samples_leaf': 1, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('class_weight', 'balanced'), ('fit_weight', 'none'), ('max_depth', 12), ('min_samples_leaf', 1)]",0.6550473778027956,0.24,0.04
decision_tree,4,"{'max_depth': 12, 'min_samples_leaf': 1, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('class_weight', 'balanced'), ('fit_weight', 'none'), ('max_depth', 12), ('min_samples_leaf', 1)]",0.6112017417280575,0.26785714285714285,0.08035714285714286
decision_tree,5,"{'max_depth': 12, 'min_samples_leaf': 1, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('class_weight', 'balanced'), ('fit_weight', 'none'), ('max_depth', 12), ('min_samples_leaf', 1)]",0.6560616467931045,0.375,0.08928571428571429
decision_tree,1,"{'max_depth': 12, 'min_samples_leaf': 3, 'class_weight': None, 'fit_weight': 'none'}","[('class_weight', None), ('fit_weight', 'none'), ('max_depth', 12), ('min_samples_leaf', 3)]",0.7243713805568653,0.10222222222222223,0.02666666666666667
decision_tree,2,"{'max_depth': 12, 'min_samples_leaf': 3, 'class_weight': None, 'fit_weight': 'none'}","[('class_weight', None), ('fit_weight', 'none'), ('max_depth', 12), ('min_samples_leaf', 3)]",0.7509487630525095,0.1111111111111111,0.035555555555555556
decision_tree,3,"{'max_depth': 12, 'min_samples_leaf': 3, 'class_weight': None, 'fit_weight': 'none'}","[('class_weight', None), ('fit_weight', 'none'), ('max_depth', 12), ('min_samples_leaf', 3)]",0.6087285902503294,0.1688888888888889,0.04888888888888889
decision_tree,4,"{'max_depth': 12, 'min_samples_leaf': 3, 'class_weight': None, 'fit_weight': 'none'}","[('class_weight', None), ('fit_weight', 'none'), ('max_depth', 12), ('min_samples_leaf', 3)]",0.6804191306152091,0.12946428571428573,0.03571428571428571
decision_tree,5,"{'max_depth': 12, 'min_samples_leaf': 3, 'class_weight': None, 'fit_weight': 'none'}","[('class_weight', None), ('fit_weight', 'none'), ('max_depth', 12), ('min_samples_leaf', 3)]",0.8134198761426867,0.05803571428571429,0.013392857142857142
decision_tree,1,"{'max_depth': 12, 'min_samples_leaf': 3, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('class_weight', 'balanced'), ('fit_weight', 'none'), ('max_depth', 12), ('min_samples_leaf', 3)]",0.521163602994086,0.38222222222222224,0.08888888888888889
decision_tree,2,"{'max_depth': 12, 'min_samples_leaf': 3, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('class_weight', 'balanced'), ('fit_weight', 'none'), ('max_depth', 12), ('min_samples_leaf', 3)]",0.6274663234663235,0.31555555555555553,0.09333333333333334
decision_tree,3,"{'max_depth': 12, 'min_samples_leaf': 3, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('class_weight', 'balanced'), ('fit_weight', 'none'), ('max_depth', 12), ('min_samples_leaf', 3)]",0.5408935474173899,0.36,0.08
decision_tree,4,"{'max_depth': 12, 'min_samples_leaf': 3, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('class_weight', 'balanced'), ('fit_weight', 'none'), ('max_depth', 12), ('min_samples_leaf', 3)]",0.5724073137345553,0.4375,0.13839285714285715
